disease,symptoms,description,precaution_1,precaution_2,precaution_3,precaution_4,precautions,severity_score,risk_level
fungal infection,"['itching', 'skin_rash', 'nodal_skin_eruptions', 'dischromic _patches']","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",8,low
fungal infection,"['skin_rash', 'nodal_skin_eruptions', 'dischromic _patches']","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",7,low
fungal infection,"['itching', 'nodal_skin_eruptions', 'dischromic _patches']","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",5,low
fungal infection,"['itching', 'skin_rash', 'dischromic _patches']","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",4,low
fungal infection,"['itching', 'skin_rash', 'nodal_skin_eruptions']","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",8,low
fungal infection,"['skin_rash', 'nodal_skin_eruptions', 'dischromic _patches']","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",7,low
fungal infection,"['itching', 'nodal_skin_eruptions', 'dischromic _patches']","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",5,low
fungal infection,"['itching', 'skin_rash', 'dischromic _patches']","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",4,low
fungal infection,"['itching', 'skin_rash', 'nodal_skin_eruptions']","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",8,low
fungal infection,"['itching', 'skin_rash', 'nodal_skin_eruptions', 'dischromic _patches']","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",8,low
allergy,"['continuous_sneezing', 'shivering', 'chills', 'watering_from_eyes']","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",apply calamine,cover area with bandage,,use ice to compress itching,"['apply calamine', 'cover area with bandage', 'use ice to compress itching']",16,medium
allergy,"['shivering', 'chills', 'watering_from_eyes']","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",apply calamine,cover area with bandage,,use ice to compress itching,"['apply calamine', 'cover area with bandage', 'use ice to compress itching']",12,medium
allergy,"['continuous_sneezing', 'chills', 'watering_from_eyes']","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",apply calamine,cover area with bandage,,use ice to compress itching,"['apply calamine', 'cover area with bandage', 'use ice to compress itching']",11,medium
allergy,"['continuous_sneezing', 'shivering', 'watering_from_eyes']","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",apply calamine,cover area with bandage,,use ice to compress itching,"['apply calamine', 'cover area with bandage', 'use ice to compress itching']",13,medium
allergy,"['continuous_sneezing', 'shivering', 'chills']","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",apply calamine,cover area with bandage,,use ice to compress itching,"['apply calamine', 'cover area with bandage', 'use ice to compress itching']",12,medium
allergy,"['shivering', 'chills', 'watering_from_eyes']","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",apply calamine,cover area with bandage,,use ice to compress itching,"['apply calamine', 'cover area with bandage', 'use ice to compress itching']",12,medium
allergy,"['continuous_sneezing', 'chills', 'watering_from_eyes']","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",apply calamine,cover area with bandage,,use ice to compress itching,"['apply calamine', 'cover area with bandage', 'use ice to compress itching']",11,medium
allergy,"['continuous_sneezing', 'shivering', 'watering_from_eyes']","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",apply calamine,cover area with bandage,,use ice to compress itching,"['apply calamine', 'cover area with bandage', 'use ice to compress itching']",13,medium
allergy,"['continuous_sneezing', 'shivering', 'chills']","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",apply calamine,cover area with bandage,,use ice to compress itching,"['apply calamine', 'cover area with bandage', 'use ice to compress itching']",12,medium
allergy,"['continuous_sneezing', 'shivering', 'chills', 'watering_from_eyes']","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",apply calamine,cover area with bandage,,use ice to compress itching,"['apply calamine', 'cover area with bandage', 'use ice to compress itching']",16,medium
gerd,"['stomach_pain', 'acidity', 'ulcers_on_tongue', 'vomiting', 'cough', 'chest_pain']","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",28,high
gerd,"['stomach_pain', 'ulcers_on_tongue', 'vomiting', 'cough', 'chest_pain']","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",25,high
gerd,"['stomach_pain', 'acidity', 'vomiting', 'cough', 'chest_pain']","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",24,high
gerd,"['stomach_pain', 'acidity', 'ulcers_on_tongue', 'cough', 'chest_pain']","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",23,high
gerd,"['stomach_pain', 'acidity', 'ulcers_on_tongue', 'vomiting', 'chest_pain']","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",24,high
gerd,"['stomach_pain', 'acidity', 'ulcers_on_tongue', 'vomiting', 'cough']","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",21,high
gerd,"['acidity', 'ulcers_on_tongue', 'vomiting', 'cough', 'chest_pain']","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",23,high
gerd,"['stomach_pain', 'ulcers_on_tongue', 'vomiting', 'cough', 'chest_pain']","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",25,high
gerd,"['stomach_pain', 'acidity', 'vomiting', 'cough', 'chest_pain']","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",24,high
gerd,"['stomach_pain', 'acidity', 'ulcers_on_tongue', 'cough', 'chest_pain']","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",23,high
chronic cholestasis,"['itching', 'vomiting', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",26,high
chronic cholestasis,"['vomiting', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",25,high
chronic cholestasis,"['itching', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",21,high
